Timestamp,VT Email ID,Full Name,Which ML/AI application area interests you most?,How many people are you looking for to form a team?,Describe your ideal ML project approach,Describe your ML/AI experience and expertise,What type of ML problem excites you more?,Project ideas or topics of interest,How do you prefer to collaborate?,Preferred contact method for team formation
2024-01-15 10:23:45,alice123,Alice Johnson,Natural Language Processing (NLP) - e.g. LLMs chatbots text analysis,Looking for 2 people (to form a 3-person team),"I like to start with understanding the problem domain and existing solutions through research papers, then build quick prototypes to test ideas. I believe in iterative development with regular testing.","Intermediate - Completed CS4824 last semester, built several NLP projects including a sentiment analyzer and text summarizer. Comfortable with PyTorch and Hugging Face transformers. Currently working on a research project with Prof. Smith on dialogue systems.",Open-ended exploration (e.g. discover new patterns create novel applications research questions),"I'm really interested in building LLM agents for educational purposes. Specifically, I want to create an AI teaching assistant that can adapt its explanations based on student understanding. Also interested in prompt engineering and making LLMs more reliable for factual information.",Regular meetings with active discussion and pair programming,Discord: alice_ml#4521
2024-01-15 11:15:22,bob_eng,Bob Chen,Computer Vision - e.g. image recognition object detection video analysis,Looking for 1 person (to form a 2-person team),"I prefer diving straight into implementation and learning by doing. I usually start with a baseline model, then iterate quickly based on results. Documentation and clean code are important to me.","Advanced - 2 years of computer vision research experience, published a paper on real-time object detection at WACV. Expert in PyTorch, OpenCV, and model optimization. Internship at Tesla working on autonomous driving perception.",Well-defined problems with clear metrics (e.g. improve accuracy on existing dataset optimize known objectives),"Working on optimizing vision transformers for edge devices. Have a specific idea about using knowledge distillation and quantization to run ViT models on Raspberry Pi for real-time applications. Also interested in 3D scene reconstruction.",Divide work clearly with periodic sync-ups,Email preferred
2024-01-15 14:32:11,charlie_rob,Charlie Martinez,Robotics & Autonomous Systems - e.g. self-driving cars drones robot control,None - I'm working solo OR I already have a team,"I believe in strong theoretical foundations before implementation. I spend time understanding the math and algorithms, reviewing papers, then carefully implementing with extensive testing. I like to understand why things work, not just that they work.","Beginner - Just started learning ML this semester. Strong background in control systems and robotics from mechanical engineering. Familiar with Python and MATLAB, currently learning TensorFlow. Excited to apply ML to robotics problems.",Both equally - I enjoy variety,"Want to work on reinforcement learning for robot navigation in unknown environments. Inspired by recent work on curiosity-driven exploration. Also interested in sim-to-real transfer and how to make learned policies robust to real-world conditions.",Flexible - depends on project phase and team preferences,Slack: @charlie_robotics
2024-01-15 15:45:33,diana_data,Diana Patel,Healthcare AI - e.g. disease prediction medical imaging drug discovery,Looking for 2 people (to form a 3-person team),"I'm very data-driven - I start by thoroughly exploring and understanding the data, identifying patterns and potential issues. Then I carefully select appropriate models based on the data characteristics. I believe in rigorous evaluation and ethical considerations, especially in healthcare.","Intermediate - Background in biomedical engineering with 1 year of ML experience. Completed projects on ECG classification and medical image segmentation. Proficient in Python, scikit-learn, and starting to learn JAX. Strong statistical background.","Open-ended exploration (e.g. discover new patterns create novel applications research questions)","Interested in using ML for early disease detection, particularly combining multiple data modalities (imaging, genomics, clinical notes). Want to explore interpretable ML models for healthcare where decisions need to be explainable to doctors. Also curious about federated learning for patient privacy.",Regular meetings with active discussion and pair programming,Discord: diana_biomed#8823
2024-01-15 16:20:45,eric_cyber,Eric Thompson,Cybersecurity - e.g. threat detection anomaly detection security analysis,Looking for 3 people (to form a 4-person team),"I take a security-first approach to ML projects. I think about potential vulnerabilities and adversarial attacks from the beginning. I like to build robust systems with comprehensive testing, including edge cases and failure modes.","Advanced - 3 years in cybersecurity, recently focusing on ML applications. Experience with adversarial ML, anomaly detection systems, and network traffic analysis. Built a malware detection system currently used by university IT. Proficient in Python, TensorFlow, and security tools.",Well-defined problems with clear metrics (e.g. improve accuracy on existing dataset optimize known objectives),"Want to build a real-time network intrusion detection system using deep learning. Have access to university network data (with permissions). Also interested in adversarial robustness of ML models and detecting AI-generated phishing emails.",Divide work clearly with periodic sync-ups,Email preferred
2024-01-15 17:33:12,fiona_nlp,Fiona Williams,Natural Language Processing (NLP) - e.g. LLMs chatbots text analysis,Looking for 1 person (to form a 2-person team),"I love exploring creative applications of existing models. I usually start by experimenting with pre-trained models, fine-tuning them for specific tasks, then potentially training from scratch if needed. I enjoy pushing the boundaries of what's possible.","Intermediate - Strong linguistics background, transitioned to NLP 18 months ago. Experience with BERT, GPT models, and building chatbots. Created a multilingual sentiment analysis tool for social media. Comfortable with Hugging Face ecosystem and AWS.",Open-ended exploration (e.g. discover new patterns create novel applications research questions),"Fascinated by code generation using LLMs. Want to build a system that can generate unit tests from function descriptions, or maybe translate between programming languages. Also interested in making LLMs better at mathematical reasoning.",Flexible - depends on project phase and team preferences,Discord: fiona_codes#3847
2024-01-15 18:45:29,george_energy,George Kim,Power and Energy Systems - e.g. smart grids energy forecasting optimization,Looking for 2 people (to form a 3-person team),"I approach ML problems from an engineering optimization perspective. I like to clearly define objectives and constraints, then systematically explore solutions. I believe in benchmarking against traditional methods to ensure ML adds real value.","Beginner - Electrical engineering PhD student focusing on power systems. New to ML but strong in optimization and control theory. Learning Python and scikit-learn. Excited about applying ML to renewable energy integration.",Well-defined problems with clear metrics (e.g. improve accuracy on existing dataset optimize known objectives),"Want to use ML for solar power forecasting to improve grid stability. Have access to historical weather and power generation data from local solar farms. Interested in combining physical models with ML for better predictions.",Regular meetings with active discussion and pair programming,Email preferred
2024-01-15 19:12:44,hannah_cv,Hannah Lee,Computer Vision - e.g. image recognition object detection video analysis,None - I'm working solo OR I already have a team,"I believe in understanding both classical computer vision and deep learning approaches. I often start with traditional methods as baselines, then apply deep learning where it adds value. I'm passionate about efficient and interpretable models.","Advanced - 4 years of computer vision experience in both research and industry. Published 3 papers on medical image analysis. Expert in PyTorch, strong theoretical background in CNNs and vision transformers. Experience deploying models in production.",Both equally - I enjoy variety,"Already working with a teammate on using vision-language models for accessibility applications. We're building a system to generate detailed scene descriptions for visually impaired users. Always interested in discussions about ethical AI and bias in vision systems.",Divide work clearly with periodic sync-ups,Slack: @hannah_vision
2024-01-15 19:45:31,ivan_general,Ivan Rodriguez,General ML/Other - e.g. recommendation systems time series reinforcement learning,Looking for 1 person (to form a 2-person team),"I'm a generalist who adapts my approach based on the problem. I enjoy learning new domains and applying appropriate techniques. I value clear communication and documentation throughout the project lifecycle.","Intermediate - Broad ML experience from various online courses and projects. Built recommendation systems, time series forecasters, and simple RL agents. Jack of all trades, master of none, but passionate about learning. Comfortable with TensorFlow and starting PyTorch.",Open-ended exploration (e.g. discover new patterns create novel applications research questions),"Open to any interesting project! Particularly curious about graph neural networks and their applications. Also interested in AutoML and neural architecture search. Would love to work on something with real-world impact.",Flexible - depends on project phase and team preferences,Discord: ivan_ml_enthusiast#9234
2024-01-15 20:15:55,julia_health,Julia Anderson,Healthcare AI - e.g. disease prediction medical imaging drug discovery,Looking for 3 people (to form a 4-person team),"I take a patient-centered approach to healthcare AI. I always consider the end users (doctors, patients) and ensure our solutions are practical and interpretable. I believe in careful validation and understanding limitations of our models.","Beginner - Pre-med student with basic Python knowledge. Completed intro to ML course last semester. Strong domain knowledge in medicine and healthcare workflows. Eager to learn more technical skills while contributing medical insights.",Well-defined problems with clear metrics (e.g. improve accuracy on existing dataset optimize known objectives),"Interested in using ML for medical image analysis, particularly for detecting rare diseases where data is limited. Want to explore few-shot learning and data augmentation techniques. Also interested in clinical decision support systems.",Regular meetings with active discussion and pair programming,Email preferred
